timeframe,trend_length,full_signals,full_tp,full_sl,full_reversals,full_resolved,full_winrate,train_resolved,train_tp,train_sl,train_winrate,test_resolved,test_tp,test_sl,test_winrate
5m,3,80485,4877,8157,67449,13034,37.4175,9958,3782,6176,37.9795,3076,1095,1981,35.5982
5m,4,74586,4925,7639,62021,12564,39.1993,9652,3814,5838,39.5151,2911,1111,1800,38.1656
5m,5,68308,4962,7620,55725,12582,39.4373,9717,3835,5882,39.4669,2864,1127,1737,39.3506
5m,6,62636,4947,7772,49917,12719,38.8946,9839,3802,6037,38.6421,2879,1145,1734,39.7708
5m,7,58120,4917,7899,45304,12816,38.3661,9920,3761,6159,37.9133,2895,1156,1739,39.9309
5m,8,54256,4904,8035,41317,12939,37.9009,9998,3749,6249,37.4975,2940,1155,1785,39.2857
5m,9,50786,4855,8038,37893,12893,37.6561,9952,3713,6239,37.3091,2940,1142,1798,38.8435
5m,10,47960,4807,8050,35103,12857,37.3882,9913,3688,6225,37.2037,2944,1119,1825,38.0095
5m,11,45468,4736,8061,32671,12797,37.0087,9848,3618,6230,36.7384,2949,1118,1831,37.9112
5m,12,43182,4728,7915,30539,12643,37.3962,9759,3624,6135,37.135,2884,1104,1780,38.2802
5m,13,41362,4698,7872,28792,12570,37.3747,9710,3596,6114,37.034,2860,1102,1758,38.5315
5m,14,39612,4628,7855,27129,12483,37.0744,9657,3542,6115,36.6781,2826,1086,1740,38.4289
5m,15,38012,4596,7701,25715,12297,37.375,9519,3519,6000,36.9682,2778,1077,1701,38.7689
5m,16,36636,4521,7703,24412,12224,36.9846,9453,3462,5991,36.6233,2771,1059,1712,38.2173
5m,17,35572,4482,7732,23358,12214,36.6956,9384,3428,5956,36.5303,2830,1054,1776,37.2438
5m,18,34514,4458,7605,22451,12063,36.956,9285,3408,5877,36.7044,2777,1050,1727,37.8106
5m,19,33514,4402,7531,21581,11933,36.8893,9200,3370,5830,36.6304,2732,1032,1700,37.7745
5m,20,32540,4362,7457,20721,11819,36.9067,9140,3340,5800,36.5427,2679,1022,1657,38.1486
5m,21,31694,4334,7398,19962,11732,36.9417,9080,3324,5756,36.6079,2651,1010,1641,38.0988
5m,22,30966,4291,7334,19341,11625,36.9118,9019,3288,5731,36.4564,2606,1003,1603,38.4881
5m,23,30142,4260,7218,18664,11478,37.1145,8922,3272,5650,36.6734,2556,988,1568,38.6541
5m,24,29320,4207,7079,18034,11286,37.2763,8737,3234,5503,37.015,2549,973,1576,38.1718
5m,25,28746,4178,7046,17522,11224,37.2238,8685,3211,5474,36.9718,2539,967,1572,38.0859
5m,26,28076,4162,6900,17014,11062,37.6243,8511,3204,5307,37.6454,2551,958,1593,37.5539
5m,27,27488,4120,6833,16535,10953,37.6153,8431,3182,5249,37.7417,2522,938,1584,37.1927
5m,28,26966,4073,6778,16115,10851,37.5357,8365,3151,5214,37.6689,2486,922,1564,37.0877
5m,29,26448,4031,6780,15637,10811,37.2861,8350,3124,5226,37.4132,2461,907,1554,36.8549
5m,30,25894,3983,6741,15170,10724,37.141,8288,3083,5205,37.1984,2436,900,1536,36.9458
5m,31,25394,3936,6728,14730,10664,36.9092,8254,3051,5203,36.9639,2410,885,1525,36.722
5m,32,24990,3913,6612,14465,10525,37.1781,8147,3043,5104,37.3512,2378,870,1508,36.5854
5m,33,24638,3888,6578,14172,10466,37.1489,8090,3015,5075,37.2682,2376,873,1503,36.7424
5m,34,24290,3859,6519,13912,10378,37.1844,8012,2987,5025,37.2816,2366,872,1494,36.8555
5m,35,23820,3836,6499,13485,10335,37.1166,7949,2969,4980,37.3506,2386,867,1519,36.337
5m,36,23480,3825,6438,13217,10263,37.2698,7904,2965,4939,37.5127,2359,860,1499,36.4561
5m,37,23116,3788,6342,12986,10130,37.3939,7810,2940,4870,37.644,2320,848,1472,36.5517
5m,38,22782,3767,6351,12664,10118,37.2307,7800,2919,4881,37.4231,2317,848,1469,36.5991
5m,39,22518,3755,6328,12435,10083,37.2409,7800,2907,4893,37.2692,2283,848,1435,37.1441
5m,40,22178,3720,6269,12189,9989,37.241,7719,2875,4844,37.2458,2270,845,1425,37.2247
5m,41,21882,3691,6221,11970,9912,37.2377,7668,2839,4829,37.024,2244,852,1392,37.9679
5m,42,21580,3667,6127,11786,9794,37.4413,7567,2818,4749,37.2407,2227,849,1378,38.123
5m,43,21326,3634,6110,11582,9744,37.2947,7525,2788,4737,37.0498,2219,846,1373,38.1253
5m,44,21066,3611,6056,11399,9667,37.3539,7480,2782,4698,37.1925,2187,829,1358,37.9058
5m,45,20792,3587,5988,11217,9575,37.4621,7404,2761,4643,37.2907,2171,826,1345,38.047
5m,46,20530,3551,5973,11006,9524,37.2848,7377,2736,4641,37.0882,2147,815,1332,37.9599
5m,47,20246,3526,5855,10865,9381,37.5866,7281,2718,4563,37.33,2100,808,1292,38.4762
5m,48,19968,3495,5779,10694,9274,37.686,7183,2697,4486,37.547,2091,798,1293,38.1636
5m,49,19724,3445,5759,10520,9204,37.4294,7141,2653,4488,37.1517,2063,792,1271,38.3907
5m,50,19558,3450,5714,10394,9164,37.6473,7106,2653,4453,37.3346,2058,797,1261,38.7269
15m,3,25013,1562,2842,20609,4404,35.4678,3420,1198,2222,35.0292,984,364,620,36.9919
15m,4,23719,1607,2687,19425,4294,37.4243,3304,1236,2068,37.4092,990,371,619,37.4747
15m,5,21867,1593,2586,17688,4179,38.1192,3210,1219,1991,37.9751,969,374,595,38.5965
15m,6,20233,1595,2599,16039,4194,38.0305,3222,1233,1989,38.2682,972,362,610,37.2428
15m,7,18751,1594,2644,14513,4238,37.6121,3252,1224,2028,37.6384,986,370,616,37.5254
15m,8,17452,1582,2740,13130,4322,36.6034,3337,1214,2123,36.38,984,368,616,37.3984
15m,9,16388,1575,2786,12027,4361,36.1156,3393,1211,2182,35.6911,967,364,603,37.6422
15m,10,15508,1541,2805,11162,4346,35.4579,3359,1187,2172,35.3379,986,354,632,35.9026
15m,11,14698,1537,2723,10438,4260,36.0798,3281,1185,2096,36.117,978,352,626,35.9918
15m,12,13940,1523,2664,9753,4187,36.3745,3233,1173,2060,36.2821,953,350,603,36.7261
15m,13,13352,1505,2658,9189,4163,36.1518,3214,1164,2050,36.2166,948,341,607,35.9705
15m,14,12750,1483,2648,8619,4131,35.8993,3212,1148,2064,35.741,919,335,584,36.4527
15m,15,12320,1459,2695,8166,4154,35.1228,3224,1125,2099,34.8945,930,334,596,35.914
15m,16,11926,1463,2688,7775,4151,35.2445,3220,1128,2092,35.0311,931,335,596,35.9828
15m,17,11574,1449,2725,7400,4174,34.7149,3245,1126,2119,34.6995,929,323,606,34.7686
15m,18,11198,1436,2659,7103,4095,35.0672,3214,1120,2094,34.8475,881,316,565,35.8683
15m,19,10888,1418,2612,6858,4030,35.1861,3146,1103,2043,35.0604,884,315,569,35.6335
15m,20,10540,1419,2600,6521,4019,35.3073,3118,1105,2013,35.4394,901,314,587,34.8502
15m,21,10222,1402,2584,6236,3986,35.1731,3112,1093,2019,35.1221,874,309,565,35.3547
15m,22,9988,1389,2558,6041,3947,35.1913,3080,1077,2003,34.9675,867,312,555,35.9862
15m,23,9704,1370,2492,5842,3862,35.4738,3026,1063,1963,35.1289,836,307,529,36.7225
15m,24,9492,1358,2462,5672,3820,35.5497,2992,1054,1938,35.2273,828,304,524,36.715
15m,25,9256,1343,2411,5502,3754,35.7752,2936,1044,1892,35.5586,818,299,519,36.5526
15m,26,9034,1325,2371,5338,3696,35.8496,2894,1028,1866,35.5218,802,297,505,37.0324
15m,27,8782,1307,2322,5153,3629,36.0154,2824,1013,1811,35.8711,805,294,511,36.5217
15m,28,8618,1300,2322,4996,3622,35.8918,2810,1007,1803,35.8363,812,293,519,36.0837
15m,29,8468,1293,2316,4859,3609,35.8271,2797,1009,1788,36.0744,812,284,528,34.9754
15m,30,8336,1283,2315,4738,3598,35.6587,2793,1004,1789,35.947,805,279,526,34.6584
15m,31,8186,1290,2327,4569,3617,35.6649,2821,1005,1816,35.6257,796,285,511,35.804
15m,32,8026,1283,2279,4464,3562,36.0191,2759,993,1766,35.9913,803,290,513,36.1146
15m,33,7892,1277,2283,4332,3560,35.8708,2765,992,1773,35.877,795,285,510,35.8491
15m,34,7764,1253,2236,4275,3489,35.9129,2702,976,1726,36.1214,787,277,510,35.197
15m,35,7604,1243,2236,4125,3479,35.7287,2695,967,1728,35.8813,784,276,508,35.2041
15m,36,7466,1233,2175,4058,3408,36.1796,2641,955,1686,36.1605,767,278,489,36.2451
15m,37,7354,1231,2116,4007,3347,36.7792,2592,955,1637,36.8441,755,276,479,36.5563
15m,38,7224,1215,2100,3909,3315,36.6516,2580,945,1635,36.6279,735,270,465,36.7347
15m,39,7118,1207,2091,3820,3298,36.5979,2590,944,1646,36.4479,708,263,445,37.1469
15m,40,7040,1214,2062,3764,3276,37.0574,2584,946,1638,36.6099,692,268,424,38.7283
15m,41,6922,1209,2026,3687,3235,37.3725,2537,938,1599,36.9728,698,271,427,38.8252
15m,42,6838,1190,2025,3623,3215,37.014,2528,929,1599,36.7484,687,261,426,37.9913
15m,43,6732,1162,1990,3580,3152,36.8655,2481,910,1571,36.6788,671,252,419,37.5559
15m,44,6644,1165,1996,3483,3161,36.8554,2490,915,1575,36.747,671,250,421,37.2578
15m,45,6572,1168,1983,3421,3151,37.0676,2482,915,1567,36.8654,669,253,416,37.8176
15m,46,6490,1157,1980,3353,3137,36.8824,2463,902,1561,36.622,674,255,419,37.8338
15m,47,6376,1146,1977,3253,3123,36.6955,2451,896,1555,36.5565,672,250,422,37.2024
15m,48,6314,1143,1971,3200,3114,36.7052,2440,896,1544,36.7213,674,247,427,36.6469
15m,49,6276,1140,1948,3188,3088,36.9171,2417,891,1526,36.8639,671,249,422,37.1088
15m,50,6192,1133,1918,3141,3051,37.1354,2381,886,1495,37.2113,670,247,423,36.8657
1h,3,5863,395,805,4662,1200,32.9167,946,314,632,33.1924,254,81,173,31.8898
1h,4,5565,397,734,4434,1131,35.1017,893,321,572,35.9462,238,76,162,31.9328
1h,5,5073,400,697,3976,1097,36.4631,858,319,539,37.1795,239,81,158,33.8912
1h,6,4747,393,703,3651,1096,35.8577,869,313,556,36.0184,227,80,147,35.2423
1h,7,4406,384,723,3299,1107,34.6883,866,302,564,34.873,241,82,159,34.0249
1h,8,4102,384,729,2989,1113,34.5013,873,304,569,34.8225,240,80,160,33.3333
1h,9,3898,381,721,2796,1102,34.5735,852,302,550,35.446,250,79,171,31.6
1h,10,3676,372,723,2581,1095,33.9726,855,294,561,34.386,240,78,162,32.5
1h,11,3466,378,694,2394,1072,35.2612,846,299,547,35.3428,226,79,147,34.9558
1h,12,3296,383,673,2240,1056,36.2689,836,302,534,36.1244,220,81,139,36.8182
1h,13,3188,377,682,2129,1059,35.5996,831,298,533,35.8604,228,79,149,34.6491
1h,14,3030,369,669,1992,1038,35.5491,816,287,529,35.1716,222,82,140,36.9369
1h,15,2890,363,656,1871,1019,35.6232,790,279,511,35.3165,229,84,145,36.6812
1h,16,2794,359,652,1783,1011,35.5094,783,277,506,35.3768,228,82,146,35.9649
1h,17,2688,355,632,1699,987,35.9676,769,275,494,35.7607,218,80,138,36.6972
1h,18,2628,355,633,1638,988,35.9312,763,277,486,36.3041,225,78,147,34.6667
1h,19,2542,348,615,1577,963,36.1371,745,270,475,36.2416,218,78,140,35.7798
1h,20,2480,349,613,1516,962,36.2786,744,273,471,36.6935,218,76,142,34.8624
1h,21,2390,351,602,1435,953,36.8311,737,273,464,37.0421,216,78,138,36.1111
1h,22,2330,340,602,1386,942,36.0934,723,262,461,36.2379,219,78,141,35.6164
1h,23,2258,336,601,1319,937,35.8591,719,259,460,36.0223,218,77,141,35.3211
1h,24,2190,339,596,1253,935,36.2567,719,261,458,36.3004,216,78,138,36.1111
1h,25,2138,333,589,1214,922,36.1171,714,255,459,35.7143,208,78,130,37.5
1h,26,2058,329,568,1159,897,36.6778,692,252,440,36.4162,205,77,128,37.561
1h,27,2022,330,568,1122,898,36.7483,697,255,442,36.5854,201,75,126,37.3134
1h,28,1960,323,567,1068,890,36.2921,693,250,443,36.075,197,73,124,37.0558
1h,29,1938,322,561,1053,883,36.4666,685,249,436,36.3504,198,73,125,36.8687
1h,30,1920,325,565,1028,890,36.5169,693,253,440,36.5079,197,72,125,36.5482
1h,31,1856,316,560,978,876,36.0731,677,246,431,36.3368,199,70,129,35.1759
1h,32,1834,310,545,978,855,36.2573,657,242,415,36.8341,198,68,130,34.3434
1h,33,1800,307,541,951,848,36.2028,657,239,418,36.3775,191,68,123,35.6021
1h,34,1762,303,539,919,842,35.9857,655,238,417,36.3359,187,65,122,34.7594
1h,35,1734,300,531,902,831,36.1011,644,235,409,36.4907,187,65,122,34.7594
1h,36,1690,304,522,863,826,36.8039,645,240,405,37.2093,181,64,117,35.3591
1h,37,1668,297,515,855,812,36.5764,637,234,403,36.7347,175,63,112,36.0
1h,38,1642,293,505,843,798,36.7168,629,230,399,36.566,169,63,106,37.2781
1h,39,1618,295,499,822,794,37.1537,632,233,399,36.8671,162,62,100,38.2716
1h,40,1612,294,494,822,788,37.3096,624,229,395,36.6987,164,65,99,39.6341
1h,41,1590,291,488,809,779,37.3556,613,226,387,36.8679,166,65,101,39.1566
1h,42,1550,285,470,793,755,37.7483,597,223,374,37.3534,158,62,96,39.2405
1h,43,1532,280,458,792,738,37.9404,580,220,360,37.931,158,60,98,37.9747
1h,44,1514,279,458,775,737,37.8562,573,218,355,38.0454,164,61,103,37.1951
1h,45,1490,274,468,746,742,36.9272,580,214,366,36.8966,162,60,102,37.037
1h,46,1478,279,459,738,738,37.8049,580,217,363,37.4138,158,62,96,39.2405
1h,47,1460,277,459,722,736,37.6359,574,214,360,37.2822,162,63,99,38.8889
1h,48,1450,276,463,709,739,37.3478,572,213,359,37.2378,167,63,104,37.7246
1h,49,1446,273,468,703,741,36.8421,572,211,361,36.8881,169,62,107,36.6864
1h,50,1406,264,451,689,715,36.9231,550,203,347,36.9091,165,61,104,36.9697
